"DATE","AVG_SCORE"
"2016-09-04",1.0000
"2016-09-05",1.0000
"2016-09-13",1.0000
"2016-09-15",1.0000
"2016-10-02",1.0000
"2016-10-03",2.5000
"2016-10-04",3.5294
"2016-10-05",2.7941
"2016-10-06",3.6061
"2016-10-07",3.2727
"2016-10-08",4.0857
"2016-10-09",3.6842
"2016-10-10",3.7353
"2016-10-22",1.0000
"2016-12-23",5.0000
"2017-01-05",4.9655
"2017-01-06",5.0000
"2017-01-07",3.6667
"2017-01-08",3.0000
"2017-01-09",3.0000
"2017-01-10",3.0000
"2017-01-11",3.7273
"2017-01-12",3.7500
"2017-01-13",4.2222
"2017-01-14",3.8333
"2017-01-15",4.6923
"2017-01-16",3.8571
"2017-01-17",4.2667
"2017-01-18",3.7826
"2017-01-19",3.9000
"2017-01-20",4.4615
"2017-01-21",3.9048
"2017-01-22",3.9130
"2017-01-23",3.7742
"2017-01-24",4.4839
"2017-01-25",3.7059
"2017-01-26",4.2615
"2017-01-27",4.1200
"2017-01-28",3.9130
"2017-01-29",4.4483
"2017-01-30",3.8780
"2017-01-31",3.9821
"2017-02-01",3.7963
"2017-02-02",4.2453
"2017-02-03",4.0465
"2017-02-04",4.0741
"2017-02-05",4.2364
"2017-02-06",4.0278
"2017-02-07",4.2414
"2017-02-08",4.0000
"2017-02-09",4.0323
"2017-02-10",4.1321
"2017-02-11",4.1714
"2017-02-12",4.0192
"2017-02-13",3.7167
"2017-02-14",3.9138
"2017-02-15",4.0833
"2017-02-16",3.9556
"2017-02-17",3.9750
"2017-02-18",3.9535
"2017-02-19",3.2963
"2017-02-20",4.0196
"2017-02-21",3.8333
"2017-02-22",3.8200
"2017-02-23",4.1569
"2017-02-24",4.1961
"2017-02-25",3.8056
"2017-02-26",3.5833
"2017-02-27",4.0513
"2017-02-28",3.5385
"2017-03-01",3.9012
"2017-03-02",4.1132
"2017-03-03",4.1525
"2017-03-04",4.0484
"2017-03-05",4.1864
"2017-03-06",3.8000
"2017-03-07",4.0000
"2017-03-08",4.1017
"2017-03-09",3.9014
"2017-03-10",4.2985
"2017-03-11",4.0339
"2017-03-12",4.0189
"2017-03-13",3.9432
"2017-03-14",4.0000
"2017-03-15",4.0455
"2017-03-16",4.1688
"2017-03-17",4.0851
"2017-03-18",3.9821
"2017-03-19",3.8537
"2017-03-20",4.1889
"2017-03-21",4.0375
"2017-03-22",4.1829
"2017-03-23",4.0581
"2017-03-24",4.0492
"2017-03-25",3.8667
"2017-03-26",3.9412
"2017-03-27",4.0843
"2017-03-28",4.1351
"2017-03-29",4.1132
"2017-03-30",3.9153
"2017-03-31",4.0169
"2017-04-01",4.4630
"2017-04-02",4.4706
"2017-04-03",3.9630
"2017-04-04",4.2113
"2017-04-05",4.3250
"2017-04-06",3.9467
"2017-04-07",4.1940
"2017-04-08",3.9057
"2017-04-09",3.8727
"2017-04-10",3.8507
"2017-04-11",3.9167
"2017-04-12",3.8000
"2017-04-13",4.1905
"2017-04-14",3.7174
"2017-04-15",3.9070
"2017-04-16",3.9535
"2017-04-17",3.8036
"2017-04-18",4.2115
"2017-04-19",3.6923
"2017-04-20",3.8554
"2017-04-21",3.7800
"2017-04-22",3.9265
"2017-04-23",4.0448
"2017-04-24",3.9024
"2017-04-25",3.9540
"2017-04-26",4.0833
"2017-04-27",4.2462
"2017-04-28",4.0769
"2017-04-29",3.9492
"2017-04-30",4.2941
"2017-05-01",3.9894
"2017-05-02",4.0288
"2017-05-03",4.2738
"2017-05-04",4.2921
"2017-05-05",3.9778
"2017-05-06",4.1705
"2017-05-07",4.0238
"2017-05-08",4.3636
"2017-05-09",4.0909
"2017-05-10",4.1011
"2017-05-11",4.1905
"2017-05-12",3.9149
"2017-05-13",3.9310
"2017-05-14",4.1149
"2017-05-15",3.8952
"2017-05-16",4.0702
"2017-05-17",4.1963
"2017-05-18",4.1058
"2017-05-19",4.0648
"2017-05-20",4.2182
"2017-05-21",4.3000
"2017-05-22",4.2000
"2017-05-23",4.1134
"2017-05-24",4.3043
"2017-05-25",4.3452
"2017-05-26",4.0154
"2017-05-27",4.3333
"2017-05-28",4.4333
"2017-05-29",4.1395
"2017-05-30",4.1282
"2017-05-31",4.3061
"2017-06-01",3.9596
"2017-06-02",4.2000
"2017-06-03",4.0986
"2017-06-04",4.3333
"2017-06-05",4.0420
"2017-06-06",4.1765
"2017-06-07",4.0000
"2017-06-08",4.2162
"2017-06-09",4.1494
"2017-06-10",3.8852
"2017-06-11",4.1158
"2017-06-12",4.2323
"2017-06-13",4.2626
"2017-06-14",4.0481
"2017-06-15",4.0102
"2017-06-16",4.0385
"2017-06-17",3.9322
"2017-06-18",4.3038
"2017-06-19",4.0292
"2017-06-20",3.9740
"2017-06-21",4.4583
"2017-06-22",4.1538
"2017-06-23",4.4268
"2017-06-24",4.0645
"2017-06-25",4.1951
"2017-06-26",4.2586
"2017-06-27",4.1239
"2017-06-28",4.1020
"2017-06-29",4.1860
"2017-06-30",4.3500
"2017-07-01",4.0500
"2017-07-02",4.1625
"2017-07-03",4.2360
"2017-07-04",3.9394
"2017-07-05",4.0164
"2017-07-06",4.1983
"2017-07-07",4.3587
"2017-07-08",4.3971
"2017-07-09",4.0429
"2017-07-10",4.3276
"2017-07-11",4.2340
"2017-07-12",4.0317
"2017-07-13",4.0000
"2017-07-14",4.1583
"2017-07-15",4.1299
"2017-07-16",3.9479
"2017-07-17",4.0079
"2017-07-18",4.1164
"2017-07-19",4.2462
"2017-07-20",4.1792
"2017-07-21",4.0928
"2017-07-22",4.1143
"2017-07-23",4.1905
"2017-07-24",4.1259
"2017-07-25",3.9832
"2017-07-26",4.2929
"2017-07-27",4.2551
"2017-07-28",4.3394
"2017-07-29",3.8736
"2017-07-30",4.2316
"2017-07-31",4.1624
