"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
AC,BA,-9.993495924837452,-68.28232533466523,-12.989871851119448,-39.615591300124855,51.7
AC,DF,-9.993495924837452,-68.28232533466523,-15.790607098465964,-48.041233449700464,26.42
AC,GO,-9.993495924837452,-68.28232533466523,-16.544386780171276,-49.27402937998611,48.6
AC,MA,-9.993495924837452,-68.28232533466523,-3.9751512906138347,-44.82710896397979,27.75
AC,MG,-9.993495924837452,-68.28232533466523,-19.768131943331838,-44.25358623321739,482.41
AC,MS,-9.993495924837452,-68.28232533466523,-21.033754693811588,-54.58754251592346,85.64
AC,PR,-9.993495924837452,-68.28232533466523,-24.51761690736683,-51.13921446386092,39.05
AC,RJ,-9.993495924837452,-68.28232533466523,-22.62313258857956,-43.189515153563526,33.24
AC,RS,-9.993495924837452,-68.28232533466523,-29.405371844827677,-51.99545799943851,74.91
AC,SC,-9.993495924837452,-68.28232533466523,-27.233756086210168,-49.96532630581995,326.42
AC,SP,-9.993495924837452,-68.28232533466523,-23.191158107928256,-47.05378549380357,3813.25
AL,AM,-9.575753590432976,-36.291428960906735,-3.4629611582302386,-61.351585225624326,35.26
AL,BA,-9.575753590432976,-36.291428960906735,-12.989871851119448,-39.615591300124855,226.62
AL,CE,-9.575753590432976,-36.291428960906735,-4.628164063264693,-39.12452010467055,40.85
AL,DF,-9.575753590432976,-36.291428960906735,-15.790607098465964,-48.041233449700464,217.13
AL,GO,-9.575753590432976,-36.291428960906735,-16.544386780171276,-49.27402937998611,292.24
AL,MA,-9.575753590432976,-36.291428960906735,-3.9751512906138347,-44.82710896397979,95.02
AL,MG,-9.575753590432976,-36.291428960906735,-19.768131943331838,-44.25358623321739,2249.66
AL,PB,-9.575753590432976,-36.291428960906735,-7.053690918143463,-36.18945874369153,24.92
AL,PE,-9.575753590432976,-36.291428960906735,-8.252919762977053,-35.94553525314061,131.03
AL,PR,-9.575753590432976,-36.291428960906735,-24.51761690736683,-51.13921446386092,3020.35
